product_id,text,product_title
B005ZYTUW0,Nice.,zeroUV - Super Cateyes Vintage Inspired Fashion Mod Chic High Pointed Cat-Eye Sunglasses
B005ZYTUW0,"Love it, it's exactly what I expected",zeroUV - Super Cateyes Vintage Inspired Fashion Mod Chic High Pointed Cat-Eye Sunglasses
B005ZYTUW0,The frames and lenses are too small. Not very flattering to your face.,zeroUV - Super Cateyes Vintage Inspired Fashion Mod Chic High Pointed Cat-Eye Sunglasses
B005ZYTUW0,Very cheap...,zeroUV - Super Cateyes Vintage Inspired Fashion Mod Chic High Pointed Cat-Eye Sunglasses
B005ZYTUW0,Cute but crooked and cheap looking,zeroUV - Super Cateyes Vintage Inspired Fashion Mod Chic High Pointed Cat-Eye Sunglasses
B005ZYTUW0,Pretty but they break easily not worth the money.,zeroUV - Super Cateyes Vintage Inspired Fashion Mod Chic High Pointed Cat-Eye Sunglasses
B005ZYTUW0,too costume for me,zeroUV - Super Cateyes Vintage Inspired Fashion Mod Chic High Pointed Cat-Eye Sunglasses
B005ZYTUW0,look very cheap,zeroUV - Super Cateyes Vintage Inspired Fashion Mod Chic High Pointed Cat-Eye Sunglasses
B005ZYTUW0,I ordered the cat eye sunglasses and got heart shaped glasses. They were cute at least until they broke!,zeroUV - Super Cateyes Vintage Inspired Fashion Mod Chic High Pointed Cat-Eye Sunglasses
B005ZYTUW0,"Very cute, definantly dramatic cat eye glasses",zeroUV - Super Cateyes Vintage Inspired Fashion Mod Chic High Pointed Cat-Eye Sunglasses
B005ZYTUW0,"They're are very cute, but i didnt know that they werent optical so can put my lenses in them",zeroUV - Super Cateyes Vintage Inspired Fashion Mod Chic High Pointed Cat-Eye Sunglasses
B005ZYTUW0,They are nice but a little too big,zeroUV - Super Cateyes Vintage Inspired Fashion Mod Chic High Pointed Cat-Eye Sunglasses
B005ZYTUW0,not what expected - & they are kid sized not worth the 10 bucks,zeroUV - Super Cateyes Vintage Inspired Fashion Mod Chic High Pointed Cat-Eye Sunglasses
B005ZYTUW0,"It came packaged all folded up and smashed... It's totally creased. Save your money, this hat is crap.",zeroUV - Super Cateyes Vintage Inspired Fashion Mod Chic High Pointed Cat-Eye Sunglasses
