product_id,text,product_title
B00Z70GCXC,One of the nose pads fell off after a few uses and now it's not comfortable to wear.  The rubber pad snaps into a piece of metal.  Too bad because I really like these sunglasses but now they are worthless!,ATTCL Men's HOT Fashion Driving Polarized Sunglasses for Men Al-Mg Metal Frame Ultra Light
B00Z70GCXC,"Very nice, very comfortable.",ATTCL Men's HOT Fashion Driving Polarized Sunglasses for Men Al-Mg Metal Frame Ultra Light
B00Z70GCXC,"Incredibly low quality.  Broke after 5 days of light use.  Don't waste your money on these, shell out a bit more on something that won't break after 5 days.",ATTCL Men's HOT Fashion Driving Polarized Sunglasses for Men Al-Mg Metal Frame Ultra Light
B00Z70GCXC,"okay sun glasses, but when driving with the sun in your face you can see the reflection of skin and eyes ,creates a blind spot II will be returning them.",ATTCL Men's HOT Fashion Driving Polarized Sunglasses for Men Al-Mg Metal Frame Ultra Light
B00Z70GCXC,"Havn't had the glasses for a week and the rubber on the nose has already disappeared. Additionally, the metal that holds these is a bright metallic that reflects into the lens, so you always see a big bright circle through the lens.",ATTCL Men's HOT Fashion Driving Polarized Sunglasses for Men Al-Mg Metal Frame Ultra Light
B00Z70GCXC,Cheap &#34;plasticy&#34; feeling; no flexibility to wear; nose pads are worst- biting the skin..  Not worth the money..,ATTCL Men's HOT Fashion Driving Polarized Sunglasses for Men Al-Mg Metal Frame Ultra Light
B00Z70GCXC,"Nice glasses, didn't fit the wider bridge of husband's nose. Returned and received full refund",ATTCL Men's HOT Fashion Driving Polarized Sunglasses for Men Al-Mg Metal Frame Ultra Light
B00Z70GCXC,Not worthy of any stars!  Very uncomfortable sunglasses.,ATTCL Men's HOT Fashion Driving Polarized Sunglasses for Men Al-Mg Metal Frame Ultra Light
B00Z70GCXC,Goood,ATTCL Men's HOT Fashion Driving Polarized Sunglasses for Men Al-Mg Metal Frame Ultra Light
B00Z70GCXC,My husband loved these they ate a great price and awesome glasses very durable,ATTCL Men's HOT Fashion Driving Polarized Sunglasses for Men Al-Mg Metal Frame Ultra Light
B00Z70GCXC,"I like the shape and the case,as for the vision for<br />some reason I can't keep them to long because they give me a headache.",ATTCL Men's HOT Fashion Driving Polarized Sunglasses for Men Al-Mg Metal Frame Ultra Light
B00Z70GCXC,I wish they weren't as wide. But quality is there.,ATTCL Men's HOT Fashion Driving Polarized Sunglasses for Men Al-Mg Metal Frame Ultra Light
B00Z70GCXC,My husband loves these sunglasses.,ATTCL Men's HOT Fashion Driving Polarized Sunglasses for Men Al-Mg Metal Frame Ultra Light
B00Z70GCXC,The sunglasses itself is OK but there is a scratch on the frame. Maybe not brand new product.,ATTCL Men's HOT Fashion Driving Polarized Sunglasses for Men Al-Mg Metal Frame Ultra Light
B00Z70GCXC,Great pair of sunglasses. Only fallback is on occasions you see the reflection oh the nose pad. But you get used to it pretty quick and don't even notice it.,ATTCL Men's HOT Fashion Driving Polarized Sunglasses for Men Al-Mg Metal Frame Ultra Light
B00Z70GCXC,"These glasses lasted a week after purchase, they scratched very easily after using the lens cleaning cloth. VERY CHEAP.",ATTCL Men's HOT Fashion Driving Polarized Sunglasses for Men Al-Mg Metal Frame Ultra Light
